DEBUG 47361: Cant=10.0, PP=0.0, Pend=10.0, SegDur=2.5, TotDur=2.5, QtyDia=10.0
DEBUG 47344: Cant=10.0, PP=0.0, Pend=10.0, SegDur=1.98, TotDur=2.49, QtyDia=7.95
DEBUG 47344: Cant=10.0, PP=0.0, Pend=10.0, SegDur=0.51, TotDur=2.49, QtyDia=2.05
DEBUG 47330: Cant=10.0, PP=0.0, Pend=10.0, SegDur=0.55, TotDur=0.55, QtyDia=10.0
DEBUG 47126: Cant=100.0, PP=0.0, Pend=100.0, SegDur=7.94, TotDur=12.5, QtyDia=63.52
DEBUG 47126: Cant=100.0, PP=0.0, Pend=100.0, SegDur=4.56, TotDur=12.5, QtyDia=36.48
DEBUG 47494: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.9, TotDur=2.9, QtyDia=1.0
DEBUG 47415: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.54, TotDur=4.35, QtyDia=0.35
DEBUG 47415: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.81, TotDur=4.35, QtyDia=0.65
DEBUG 47343: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.35, TotDur=4.35, QtyDia=1.0
DEBUG 46173: Cant=90.0, PP=0.0, Pend=90.0, SegDur=1.84, TotDur=13.5, QtyDia=12.27
DEBUG 47564: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.5, TotDur=1.5, QtyDia=1.0
DEBUG 47558: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.0, TotDur=1.0, QtyDia=1.0
DEBUG 46975: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.75, TotDur=2.75, QtyDia=1.0
DEBUG 46708: Cant=1.0, PP=0.0, Pend=1.0, SegDur=3.5, TotDur=3.5, QtyDia=1.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=6.25, TotDur=150.0, QtyDia=6.25
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=15.0, TotDur=150.0, QtyDia=15.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=5.0, TotDur=150.0, QtyDia=5.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=15.0, TotDur=150.0, QtyDia=15.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=15.0, TotDur=150.0, QtyDia=15.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=15.0, TotDur=150.0, QtyDia=15.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=15.0, TotDur=150.0, QtyDia=15.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=15.0, TotDur=150.0, QtyDia=15.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=5.0, TotDur=150.0, QtyDia=5.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=15.0, TotDur=150.0, QtyDia=15.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=15.0, TotDur=150.0, QtyDia=15.0
DEBUG 46666: Cant=150.0, PP=0.0, Pend=150.0, SegDur=13.75, TotDur=150.0, QtyDia=13.75
DEBUG 46004: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.25, TotDur=4.0, QtyDia=0.31
DEBUG 46004: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.75, TotDur=4.0, QtyDia=0.69
DEBUG 47563: Cant=20.0, PP=0.0, Pend=20.0, SegDur=2.4, TotDur=2.4, QtyDia=20.0
DEBUG 47557: Cant=10.0, PP=0.0, Pend=10.0, SegDur=1.1, TotDur=1.1, QtyDia=10.0
DEBUG 46707: Cant=30.0, PP=0.0, Pend=30.0, SegDur=7.5, TotDur=7.5, QtyDia=30.0
DEBUG 46003: Cant=50.0, PP=28.0, Pend=22.0, SegDur=1.25, TotDur=22.0, QtyDia=1.25
DEBUG 46003: Cant=50.0, PP=28.0, Pend=22.0, SegDur=5.0, TotDur=22.0, QtyDia=5.0
DEBUG 47530: Cant=1.0, PP=0.0, Pend=1.0, SegDur=8.0, TotDur=8.0, QtyDia=1.0
